year,exporter,importer,hs6,trade_value
2021,THA,QAT,200599,269930.4835
2021,THA,QAT,210390,482198.11
2021,THA,QAT,210690,1557727.7650000001
2021,THA,SAU,020714,1885614.975
2021,THA,SAU,160100,0.0
2021,THA,SAU,160232,498786.59
2021,THA,SAU,040210,0.0
2021,THA,SAU,190531,1784.46
2021,THA,SAU,200599,269930.4835
2021,THA,SAU,210390,482198.11
2021,THA,SAU,210690,1557727.7650000001
2021,THA,ARE,020714,1885614.975
2021,THA,ARE,160100,0.0
2021,THA,ARE,160232,498786.59
2021,THA,ARE,040210,0.0
2021,THA,ARE,190531,1784.46
2021,THA,ARE,200599,269930.4835
2021,THA,ARE,210390,482198.11
2021,THA,ARE,210690,1557727.7650000001
2022,THA,BHR,020714,1885614.975
2022,THA,BHR,160100,0.0
2022,THA,BHR,160232,498786.59
2022,THA,BHR,040210,0.0
2022,THA,BHR,190531,1784.46
2022,THA,BHR,200599,269930.4835
2022,THA,BHR,210390,482198.11
2022,THA,BHR,210690,1557727.7650000001
2022,THA,KWT,020714,1885614.975
2022,THA,KWT,160100,0.0
2022,THA,KWT,160232,498786.59
2022,THA,KWT,040210,0.0
2022,THA,KWT,190531,1784.46
2022,THA,KWT,200599,269930.4835
2022,THA,KWT,210390,482198.11
2022,THA,KWT,210690,1557727.7650000001
2022,THA,OMN,020714,1885614.975
2022,THA,OMN,160100,0.0
2022,THA,OMN,160232,498786.59
2022,THA,OMN,040210,0.0
2022,THA,OMN,190531,1784.46
2022,THA,OMN,200599,269930.4835
2022,THA,OMN,210390,482198.11
2022,THA,OMN,210690,1557727.7650000001
2022,THA,QAT,020714,1885614.975
2022,THA,QAT,160100,0.0
2022,THA,QAT,160232,498786.59
2022,THA,QAT,040210,0.0
2022,THA,QAT,190531,1784.46
2022,THA,QAT,200599,269930.4835
2022,THA,QAT,210390,482198.11
2022,THA,QAT,210690,1557727.7650000001
2022,THA,SAU,020714,1885614.975
2022,THA,SAU,160100,0.0
2022,THA,SAU,160232,498786.59
2022,THA,SAU,040210,0.0
2022,THA,SAU,190531,1784.46
2022,THA,SAU,200599,269930.4835
2022,THA,SAU,210390,482198.11
2022,THA,SAU,210690,1557727.7650000001
2022,THA,ARE,020714,1885614.975
2022,THA,ARE,160100,0.0
2022,THA,ARE,160232,498786.59
2022,THA,ARE,040210,0.0
2022,THA,ARE,190531,1784.46
2022,THA,ARE,200599,269930.4835
2022,THA,ARE,210390,342.681
2022,THA,ARE,210690,1557727.7650000001
