year,exporter,importer,hs6,trade_value,distance,pci,gdp_ex,pop_ex,internet_ex,gdp_im,pop_im,internet_im,tariff,legal_ex,legal_im,same_legal,ln_trade_value,log_distance,ln_gdp_ex,ln_gdp_im,ln_pop_ex,ln_pop_im
2018,THA,BHR,160232,498786.59,5382,0.287,506754208404.485,71376079.0,56.8175,39567978723.4043,1503091.0,98.6447,0.1124791518535967,uk,uk,1,13.119935612767206,8.590815331286851,26.951291926939618,24.401286010003034,18.083473343164187,14.223034212477819
2018,THA,BHR,040210,0.0,5382,-0.534,506754208404.485,71376079.0,56.8175,39567978723.4043,1503091.0,98.6447,0.09381218778758511,uk,uk,1,0.0,8.590815331286851,26.951291926939618,24.401286010003034,18.083473343164187,14.223034212477819
2018,THA,BHR,190531,1784.46,5382,-0.298,506754208404.485,71376079.0,56.8175,39567978723.4043,1503091.0,98.6447,0.031842609661941114,uk,uk,1,7.487431364095237,8.590815331286851,26.951291926939618,24.401286010003034,18.083473343164187,14.223034212477819
2018,THA,BHR,200599,269930.4835,5382,0.145,506754208404.485,71376079.0,56.8175,39567978723.4043,1503091.0,98.6447,0.03183923284706837,uk,uk,1,12.505923440961958,8.590815331286851,26.951291926939618,24.401286010003034,18.083473343164187,14.223034212477819
2018,THA,BHR,210390,945687.78,5382,0.421,506754208404.485,71376079.0,56.8175,39567978723.4043,1503091.0,98.6447,0.018131705703547923,uk,uk,1,13.759668808705667,8.590815331286851,26.951291926939618,24.401286010003034,18.083473343164187,14.223034212477819
2018,THA,BHR,210690,1557727.7650000001,5382,0.198,506754208404.485,71376079.0,56.8175,39567978723.4043,1503091.0,98.6447,0.1312646604084909,uk,uk,1,14.258739398472757,8.590815331286851,26.951291926939618,24.401286010003034,18.083473343164187,14.223034212477819
2018,THA,KWT,020714,4264527.49,5666,0.823,506754208404.485,71376079.0,56.8175,138646316350.727,4323515.0,99.5988,0.09415610164404922,uk,fr,0,15.265842179455296,8.642238680390461,26.951291926939618,25.655192040683588,18.083473343164187,15.27957928678796
2018,THA,KWT,160100,0.0,5666,-0.231,506754208404.485,71376079.0,56.8175,138646316350.727,4323515.0,99.5988,0.10913016089144637,uk,fr,0,0.0,8.642238680390461,26.951291926939618,25.655192040683588,18.083473343164187,15.27957928678796
2018,THA,KWT,160232,53996.83,5666,0.287,506754208404.485,71376079.0,56.8175,138646316350.727,4323515.0,99.5988,0.012881829201412343,uk,fr,0,10.89669913955378,8.642238680390461,26.951291926939618,25.655192040683588,18.083473343164187,15.27957928678796
2018,THA,KWT,040210,0.0,5666,-0.534,506754208404.485,71376079.0,56.8175,138646316350.727,4323515.0,99.5988,0.14578737930267918,uk,fr,0,0.0,8.642238680390461,26.951291926939618,25.655192040683588,18.083473343164187,15.27957928678796
2018,THA,KWT,190531,22685.09,5666,-0.298,506754208404.485,71376079.0,56.8175,138646316350.727,4323515.0,99.5988,0.12654196971205903,uk,fr,0,10.029507240315562,8.642238680390461,26.951291926939618,25.655192040683588,18.083473343164187,15.27957928678796
2018,THA,KWT,200599,269930.4835,5666,0.145,506754208404.485,71376079.0,56.8175,138646316350.727,4323515.0,99.5988,0.039727475494958656,uk,fr,0,12.505923440961958,8.642238680390461,26.951291926939618,25.655192040683588,18.083473343164187,15.27957928678796
2018,THA,KWT,210390,779936.58,5666,0.421,506754208404.485,71376079.0,56.8175,138646316350.727,4323515.0,99.5988,0.035455495408994085,uk,fr,0,13.566969169822526,8.642238680390461,26.951291926939618,25.655192040683588,18.083473343164187,15.27957928678796
